model,oof_average_precision,oof_roc_auc
Histogram Gradient Boosting,0.7397367731727348,0.9376878859964592
Gradient Boosting,0.7341757961783624,0.9369336246852785
Random Forest,0.7278273382780769,0.9168985119137931
Extra Trees,0.6416971061694774,0.9040830437964207
Logistic Regression,0.31231058357804753,0.8633384445332711
