analysis,ROC-AUC,AP,F1,Lift@10%
Main retrospective,0.9377642431342946,0.7397291352623296,0.7550636876174567,7.964841865449571
Without cumulative monetary,0.8611602810874665,0.6533761509303528,0.7061561243917919,6.9116691400763655
